FrameNumber,ROI
1,"[303, 33, 675, 523]"
2,"[301, 33, 675, 523]"
3,"[301, 33, 676, 523]"
4,"[308, 31, 677, 524]"
5,"[314, 30, 678, 524]"
6,"[319, 29, 678, 523]"
7,"[321, 28, 677, 523]"
8,"[319, 28, 676, 523]"
9,"[319, 29, 676, 524]"
10,"[318, 29, 676, 524]"
11,"[318, 29, 676, 524]"
12,"[320, 29, 676, 523]"
13,"[321, 28, 676, 523]"
14,"[322, 28, 676, 524]"
15,"[322, 28, 679, 524]"
16,"[322, 29, 679, 523]"
17,"[322, 28, 679, 523]"
18,"[323, 28, 678, 523]"
19,"[323, 28, 678, 524]"
20,"[325, 28, 678, 524]"
21,"[325, 27, 678, 524]"
22,"[326, 27, 678, 524]"
23,"[326, 28, 678, 524]"
24,"[326, 28, 678, 524]"
25,"[325, 28, 678, 524]"
26,"[325, 28, 678, 524]"
27,"[325, 28, 678, 524]"
28,"[325, 27, 679, 524]"
29,"[326, 27, 679, 524]"
30,"[323, 28, 678, 524]"
31,"[323, 28, 677, 524]"
32,"[323, 28, 677, 524]"
33,"[323, 28, 677, 524]"
34,"[323, 27, 677, 524]"
35,"[323, 27, 677, 524]"
36,"[324, 27, 677, 525]"
37,"[325, 27, 678, 525]"
38,"[324, 28, 678, 524]"
39,"[324, 27, 679, 524]"
40,"[324, 27, 679, 525]"
41,"[324, 27, 679, 525]"
42,"[324, 27, 680, 525]"
43,"[325, 27, 680, 525]"
44,"[324, 27, 679, 525]"
45,"[321, 27, 679, 525]"
46,"[321, 29, 680, 524]"
47,"[322, 29, 680, 523]"
48,"[322, 30, 679, 523]"
49,"[321, 30, 680, 523]"
50,"[321, 30, 680, 523]"
51,"[322, 29, 680, 523]"
52,"[321, 29, 680, 523]"
53,"[320, 29, 680, 523]"
54,"[320, 29, 679, 523]"
55,"[319, 29, 679, 523]"
56,"[318, 29, 679, 523]"
57,"[318, 30, 679, 522]"
58,"[318, 31, 680, 523]"
59,"[319, 31, 680, 523]"
60,"[317, 31, 683, 523]"
61,"[317, 32, 683, 523]"
62,"[318, 31, 683, 523]"
63,"[321, 31, 682, 523]"
64,"[321, 30, 682, 523]"
65,"[321, 30, 682, 523]"
66,"[321, 30, 682, 523]"
67,"[321, 30, 681, 523]"
68,"[321, 30, 681, 523]"
69,"[322, 30, 682, 523]"
70,"[320, 30, 682, 523]"
71,"[320, 31, 682, 523]"
72,"[319, 31, 681, 523]"
73,"[319, 31, 681, 523]"
74,"[320, 31, 681, 523]"
75,"[315, 31, 681, 523]"
76,"[315, 32, 682, 523]"
77,"[316, 32, 682, 523]"
78,"[317, 32, 681, 523]"
79,"[317, 31, 681, 523]"
80,"[319, 31, 681, 523]"
81,"[320, 31, 680, 523]"
82,"[318, 31, 680, 523]"
83,"[318, 31, 680, 523]"
84,"[319, 31, 681, 523]"
85,"[319, 31, 681, 523]"
86,"[319, 30, 681, 523]"
87,"[319, 30, 682, 523]"
88,"[319, 31, 682, 523]"
89,"[319, 30, 682, 524]"
90,"[318, 30, 682, 524]"
91,"[318, 31, 682, 523]"
92,"[318, 31, 682, 523]"
93,"[319, 31, 681, 523]"
94,"[319, 31, 681, 523]"
95,"[320, 31, 681, 523]"
96,"[319, 31, 680, 523]"
97,"[319, 31, 680, 523]"
98,"[320, 31, 681, 524]"
99,"[320, 31, 681, 524]"
100,"[320, 31, 680, 523]"
101,"[321, 31, 681, 523]"
102,"[321, 31, 681, 523]"
103,"[319, 31, 680, 523]"
104,"[319, 31, 680, 523]"
105,"[318, 31, 680, 523]"
106,"[318, 31, 681, 523]"
107,"[319, 31, 681, 523]"
108,"[321, 30, 680, 524]"
109,"[321, 30, 680, 524]"
110,"[322, 30, 680, 524]"
111,"[320, 30, 680, 524]"
112,"[320, 30, 680, 524]"
113,"[320, 31, 681, 524]"
114,"[319, 32, 682, 524]"
115,"[319, 33, 682, 524]"
116,"[318, 34, 681, 524]"
117,"[318, 35, 681, 524]"
118,"[318, 35, 681, 524]"
119,"[318, 35, 681, 524]"
120,"[316, 35, 681, 524]"
121,"[314, 35, 681, 523]"
122,"[314, 35, 680, 523]"
123,"[316, 35, 680, 523]"
124,"[316, 35, 680, 523]"
125,"[317, 35, 679, 523]"
126,"[317, 35, 679, 523]"
127,"[317, 35, 679, 523]"
128,"[317, 35, 679, 523]"
129,"[316, 35, 679, 523]"
130,"[316, 35, 679, 523]"
131,"[316, 35, 679, 523]"
132,"[316, 35, 679, 523]"
133,"[314, 35, 679, 523]"
134,"[314, 35, 678, 523]"
135,"[313, 35, 678, 523]"
136,"[312, 36, 678, 523]"
137,"[312, 36, 678, 523]"
138,"[312, 36, 677, 523]"
139,"[312, 38, 676, 523]"
140,"[313, 38, 676, 523]"
141,"[309, 40, 675, 522]"
142,"[307, 42, 674, 522]"
143,"[305, 43, 674, 523]"
144,"[302, 44, 673, 523]"
145,"[301, 45, 673, 523]"
146,"[299, 46, 673, 522]"
147,"[299, 47, 673, 523]"
148,"[298, 48, 673, 523]"
149,"[296, 48, 673, 523]"
150,"[296, 48, 675, 523]"
151,"[296, 48, 675, 523]"
152,"[298, 48, 675, 523]"
153,"[299, 47, 675, 522]"
154,"[299, 47, 674, 522]"
155,"[299, 47, 674, 522]"
156,"[301, 47, 674, 522]"
157,"[303, 47, 674, 522]"
158,"[304, 46, 674, 522]"
159,"[304, 46, 674, 522]"
160,"[304, 46, 675, 522]"
161,"[304, 45, 675, 522]"
162,"[305, 45, 677, 522]"
163,"[306, 44, 678, 522]"
164,"[309, 44, 679, 522]"
165,"[303, 44, 680, 523]"
166,"[303, 46, 680, 523]"
167,"[304, 45, 680, 522]"
168,"[306, 45, 679, 522]"
169,"[308, 45, 679, 522]"
170,"[308, 45, 680, 523]"
171,"[307, 44, 680, 523]"
172,"[307, 44, 679, 523]"
173,"[308, 44, 679, 523]"
174,"[306, 44, 678, 522]"
175,"[306, 44, 679, 522]"
176,"[305, 44, 679, 523]"
177,"[305, 44, 679, 523]"
178,"[306, 43, 680, 524]"
179,"[308, 43, 680, 524]"
180,"[305, 43, 680, 524]"
181,"[305, 43, 681, 524]"
182,"[305, 42, 681, 524]"
183,"[307, 42, 681, 524]"
184,"[307, 41, 681, 524]"
185,"[307, 41, 681, 524]"
186,"[310, 41, 681, 524]"
187,"[311, 40, 682, 524]"
188,"[311, 40, 682, 524]"
189,"[310, 40, 682, 524]"
190,"[310, 39, 683, 524]"
191,"[310, 38, 683, 524]"
192,"[313, 37, 684, 523]"
193,"[314, 36, 685, 524]"
194,"[315, 36, 685, 524]"
195,"[311, 36, 685, 524]"
196,"[311, 37, 685, 524]"
197,"[311, 36, 684, 524]"
198,"[314, 36, 684, 524]"
199,"[314, 36, 684, 524]"
200,"[314, 36, 683, 524]"
201,"[314, 36, 684, 523]"
202,"[312, 36, 684, 524]"
203,"[312, 36, 684, 524]"
204,"[314, 36, 684, 523]"
