This file shows errors that happen in  <HumanDetectionSSD.HumanDetection object at 0x7f813c1b34f0> Class
*********** i is: 0
dictionary is: {'i': 0, 'Point_a_X': 293, 'Point_a_Y': 24, 'Point_b_X': 620, 'Point_b_Y': 517, 'Confidence': 0.99710494, 'Label': 'Person 1: 99.71%'} ,Final dictionary is: {1: {'i': 0, 'Point_a_X': 293, 'Point_a_Y': 24, 'Point_b_X': 620, 'Point_b_Y': 517, 'Confidence': 0.99710494, 'Label': 'Person 1: 99.71%'}} ,*********** i is: 0
dictionary is: {'i': 0, 'Point_a_X': 292, 'Point_a_Y': 24, 'Point_b_X': 620, 'Point_b_Y': 516, 'Confidence': 0.9971757, 'Label': 'Person 1: 99.72%'} ,Final dictionary is: {1: {'i': 0, 'Point_a_X': 292, 'Point_a_Y': 24, 'Point_b_X': 620, 'Point_b_Y': 516, 'Confidence': 0.9971757, 'Label': 'Person 1: 99.72%'}} ,*********** i is: 0
dictionary is: {'i': 0, 'Point_a_X': 291, 'Point_a_Y': 24, 'Point_b_X': 620, 'Point_b_Y': 516, 'Confidence': 0.99677086, 'Label': 'Person 1: 99.68%'} ,Final dictionary is: {1: {'i': 0, 'Point_a_X': 291, 'Point_a_Y': 24, 'Point_b_X': 620, 'Point_b_Y': 516, 'Confidence': 0.99677086, 'Label': 'Person 1: 99.68%'}} ,*********** i is: 0
dictionary is: {'i': 0, 'Point_a_X': 290, 'Point_a_Y': 24, 'Point_b_X': 620, 'Point_b_Y': 516, 'Confidence': 0.9969998, 'Label': 'Person 1: 99.70%'} ,Final dictionary is: {1: {'i': 0, 'Point_a_X': 290, 'Point_a_Y': 24, 'Point_b_X': 620, 'Point_b_Y': 516, 'Confidence': 0.9969998, 'Label': 'Person 1: 99.70%'}} ,*********** i is: 0
dictionary is: {'i': 0, 'Point_a_X': 289, 'Point_a_Y': 24, 'Point_b_X': 622, 'Point_b_Y': 516, 'Confidence': 0.9967062, 'Label': 'Person 1: 99.67%'} ,Final dictionary is: {1: {'i': 0, 'Point_a_X': 289, 'Point_a_Y': 24, 'Point_b_X': 622, 'Point_b_Y': 516, 'Confidence': 0.9967062, 'Label': 'Person 1: 99.67%'}} ,*********** i is: 0
dictionary is: {'i': 0, 'Point_a_X': 290, 'Point_a_Y': 24, 'Point_b_X': 622, 'Point_b_Y': 517, 'Confidence': 0.99671763, 'Label': 'Person 1: 99.67%'} ,Final dictionary is: {1: {'i': 0, 'Point_a_X': 290, 'Point_a_Y': 24, 'Point_b_X': 622, 'Point_b_Y': 517, 'Confidence': 0.99671763, 'Label': 'Person 1: 99.67%'}} ,*********** i is: 0
dictionary is: {'i': 0, 'Point_a_X': 289, 'Point_a_Y': 24, 'Point_b_X': 623, 'Point_b_Y': 517, 'Confidence': 0.9964078, 'Label': 'Person 1: 99.64%'} ,Final dictionary is: {1: {'i': 0, 'Point_a_X': 289, 'Point_a_Y': 24, 'Point_b_X': 623, 'Point_b_Y': 517, 'Confidence': 0.9964078, 'Label': 'Person 1: 99.64%'}} ,*********** i is: 0
dictionary is: {'i': 0, 'Point_a_X': 289, 'Point_a_Y': 23, 'Point_b_X': 623, 'Point_b_Y': 516, 'Confidence': 0.99707747, 'Label': 'Person 1: 99.71%'} ,Final dictionary is: {1: {'i': 0, 'Point_a_X': 289, 'Point_a_Y': 23, 'Point_b_X': 623, 'Point_b_Y': 516, 'Confidence': 0.99707747, 'Label': 'Person 1: 99.71%'}} ,*********** i is: 0
dictionary is: {'i': 0, 'Point_a_X': 290, 'Point_a_Y': 24, 'Point_b_X': 622, 'Point_b_Y': 515, 'Confidence': 0.9974591, 'Label': 'Person 1: 99.75%'} ,Final dictionary is: {1: {'i': 0, 'Point_a_X': 290, 'Point_a_Y': 24, 'Point_b_X': 622, 'Point_b_Y': 515, 'Confidence': 0.9974591, 'Label': 'Person 1: 99.75%'}} ,*********** i is: 0
dictionary is: {'i': 0, 'Point_a_X': 289, 'Point_a_Y': 24, 'Point_b_X': 623, 'Point_b_Y': 515, 'Confidence': 0.9976591, 'Label': 'Person 1: 99.77%'} ,Final dictionary is: {1: {'i': 0, 'Point_a_X': 289, 'Point_a_Y': 24, 'Point_b_X': 623, 'Point_b_Y': 515, 'Confidence': 0.9976591, 'Label': 'Person 1: 99.77%'}} ,*********** i is: 0
dictionary is: {'i': 0, 'Point_a_X': 288, 'Point_a_Y': 24, 'Point_b_X': 623, 'Point_b_Y': 515, 'Confidence': 0.99794644, 'Label': 'Person 1: 99.79%'} ,Final dictionary is: {1: {'i': 0, 'Point_a_X': 288, 'Point_a_Y': 24, 'Point_b_X': 623, 'Point_b_Y': 515, 'Confidence': 0.99794644, 'Label': 'Person 1: 99.79%'}} ,*********** i is: 0
dictionary is: {'i': 0, 'Point_a_X': 288, 'Point_a_Y': 23, 'Point_b_X': 624, 'Point_b_Y': 515, 'Confidence': 0.99791795, 'Label': 'Person 1: 99.79%'} ,Final dictionary is: {1: {'i': 0, 'Point_a_X': 288, 'Point_a_Y': 23, 'Point_b_X': 624, 'Point_b_Y': 515, 'Confidence': 0.99791795, 'Label': 'Person 1: 99.79%'}} ,*********** i is: 0
dictionary is: {'i': 0, 'Point_a_X': 287, 'Point_a_Y': 23, 'Point_b_X': 623, 'Point_b_Y': 515, 'Confidence': 0.99758923, 'Label': 'Person 1: 99.76%'} ,Final dictionary is: {1: {'i': 0, 'Point_a_X': 287, 'Point_a_Y': 23, 'Point_b_X': 623, 'Point_b_Y': 515, 'Confidence': 0.99758923, 'Label': 'Person 1: 99.76%'}} ,*********** i is: 0
dictionary is: {'i': 0, 'Point_a_X': 284, 'Point_a_Y': 23, 'Point_b_X': 624, 'Point_b_Y': 515, 'Confidence': 0.99722004, 'Label': 'Person 1: 99.72%'} ,Final dictionary is: {1: {'i': 0, 'Point_a_X': 284, 'Point_a_Y': 23, 'Point_b_X': 624, 'Point_b_Y': 515, 'Confidence': 0.99722004, 'Label': 'Person 1: 99.72%'}} ,*********** i is: 0
dictionary is: {'i': 0, 'Point_a_X': 275, 'Point_a_Y': 37, 'Point_b_X': 622, 'Point_b_Y': 525, 'Confidence': 0.99684083, 'Label': 'Person 1: 99.68%'} ,Final dictionary is: {1: {'i': 0, 'Point_a_X': 275, 'Point_a_Y': 37, 'Point_b_X': 622, 'Point_b_Y': 525, 'Confidence': 0.99684083, 'Label': 'Person 1: 99.68%'}} ,*********** i is: 0
dictionary is: {'i': 0, 'Point_a_X': 283, 'Point_a_Y': 22, 'Point_b_X': 626, 'Point_b_Y': 515, 'Confidence': 0.9966112, 'Label': 'Person 1: 99.66%'} ,Final dictionary is: {1: {'i': 0, 'Point_a_X': 283, 'Point_a_Y': 22, 'Point_b_X': 626, 'Point_b_Y': 515, 'Confidence': 0.9966112, 'Label': 'Person 1: 99.66%'}} ,*********** i is: 0
dictionary is: {'i': 0, 'Point_a_X': 283, 'Point_a_Y': 22, 'Point_b_X': 625, 'Point_b_Y': 514, 'Confidence': 0.99663097, 'Label': 'Person 1: 99.66%'} ,Final dictionary is: {1: {'i': 0, 'Point_a_X': 283, 'Point_a_Y': 22, 'Point_b_X': 625, 'Point_b_Y': 514, 'Confidence': 0.99663097, 'Label': 'Person 1: 99.66%'}} ,*********** i is: 0
dictionary is: {'i': 0, 'Point_a_X': 282, 'Point_a_Y': 22, 'Point_b_X': 625, 'Point_b_Y': 514, 'Confidence': 0.9970584, 'Label': 'Person 1: 99.71%'} ,Final dictionary is: {1: {'i': 0, 'Point_a_X': 282, 'Point_a_Y': 22, 'Point_b_X': 625, 'Point_b_Y': 514, 'Confidence': 0.9970584, 'Label': 'Person 1: 99.71%'}} ,*********** i is: 0
dictionary is: {'i': 0, 'Point_a_X': 285, 'Point_a_Y': 21, 'Point_b_X': 624, 'Point_b_Y': 514, 'Confidence': 0.9968016, 'Label': 'Person 1: 99.68%'} ,Final dictionary is: {1: {'i': 0, 'Point_a_X': 285, 'Point_a_Y': 21, 'Point_b_X': 624, 'Point_b_Y': 514, 'Confidence': 0.9968016, 'Label': 'Person 1: 99.68%'}} ,*********** i is: 0
dictionary is: {'i': 0, 'Point_a_X': 287, 'Point_a_Y': 21, 'Point_b_X': 624, 'Point_b_Y': 514, 'Confidence': 0.9971168, 'Label': 'Person 1: 99.71%'} ,Final dictionary is: {1: {'i': 0, 'Point_a_X': 287, 'Point_a_Y': 21, 'Point_b_X': 624, 'Point_b_Y': 514, 'Confidence': 0.9971168, 'Label': 'Person 1: 99.71%'}} ,*********** i is: 0
dictionary is: {'i': 0, 'Point_a_X': 288, 'Point_a_Y': 22, 'Point_b_X': 623, 'Point_b_Y': 516, 'Confidence': 0.99741983, 'Label': 'Person 1: 99.74%'} ,Final dictionary is: {1: {'i': 0, 'Point_a_X': 288, 'Point_a_Y': 22, 'Point_b_X': 623, 'Point_b_Y': 516, 'Confidence': 0.99741983, 'Label': 'Person 1: 99.74%'}} ,*********** i is: 0
dictionary is: {'i': 0, 'Point_a_X': 290, 'Point_a_Y': 23, 'Point_b_X': 623, 'Point_b_Y': 515, 'Confidence': 0.9976907, 'Label': 'Person 1: 99.77%'} ,Final dictionary is: {1: {'i': 0, 'Point_a_X': 290, 'Point_a_Y': 23, 'Point_b_X': 623, 'Point_b_Y': 515, 'Confidence': 0.9976907, 'Label': 'Person 1: 99.77%'}} ,*********** i is: 0
dictionary is: {'i': 0, 'Point_a_X': 290, 'Point_a_Y': 23, 'Point_b_X': 622, 'Point_b_Y': 514, 'Confidence': 0.99813783, 'Label': 'Person 1: 99.81%'} ,Final dictionary is: {1: {'i': 0, 'Point_a_X': 290, 'Point_a_Y': 23, 'Point_b_X': 622, 'Point_b_Y': 514, 'Confidence': 0.99813783, 'Label': 'Person 1: 99.81%'}} ,*********** i is: 0
dictionary is: {'i': 0, 'Point_a_X': 289, 'Point_a_Y': 23, 'Point_b_X': 619, 'Point_b_Y': 514, 'Confidence': 0.9978707, 'Label': 'Person 1: 99.79%'} ,Final dictionary is: {1: {'i': 0, 'Point_a_X': 289, 'Point_a_Y': 23, 'Point_b_X': 619, 'Point_b_Y': 514, 'Confidence': 0.9978707, 'Label': 'Person 1: 99.79%'}} ,*********** i is: 0
