FrameNumber,ROI
1,"[310, 29, 700, 533]"
2,"[310, 29, 700, 533]"
3,"[310, 28, 700, 532]"
4,"[313, 28, 699, 533]"
5,"[313, 28, 699, 533]"
6,"[313, 28, 699, 533]"
7,"[314, 28, 699, 533]"
8,"[314, 27, 699, 532]"
9,"[314, 27, 699, 532]"
10,"[317, 27, 697, 532]"
11,"[317, 27, 698, 532]"
12,"[317, 27, 699, 532]"
13,"[318, 28, 699, 532]"
14,"[317, 28, 700, 532]"
15,"[313, 29, 700, 532]"
16,"[313, 31, 701, 532]"
17,"[314, 30, 701, 532]"
18,"[317, 30, 701, 531]"
19,"[318, 29, 701, 531]"
20,"[320, 29, 702, 531]"
21,"[320, 29, 702, 532]"
22,"[321, 29, 703, 532]"
23,"[321, 29, 703, 532]"
24,"[321, 28, 702, 532]"
25,"[316, 28, 703, 532]"
26,"[316, 28, 704, 532]"
27,"[320, 28, 704, 532]"
28,"[318, 28, 703, 532]"
29,"[318, 28, 704, 531]"
30,"[320, 28, 704, 531]"
31,"[320, 29, 705, 531]"
32,"[319, 29, 705, 532]"
33,"[319, 29, 704, 532]"
34,"[318, 29, 704, 532]"
35,"[318, 29, 705, 531]"
36,"[318, 30, 705, 532]"
37,"[318, 29, 705, 532]"
38,"[318, 29, 706, 532]"
39,"[318, 29, 706, 532]"
40,"[323, 29, 704, 532]"
41,"[324, 29, 704, 532]"
42,"[326, 29, 702, 531]"
43,"[326, 29, 702, 531]"
44,"[326, 29, 701, 531]"
45,"[325, 29, 701, 531]"
46,"[325, 30, 700, 531]"
47,"[326, 30, 701, 531]"
48,"[326, 30, 701, 531]"
49,"[326, 30, 701, 532]"
50,"[323, 30, 702, 532]"
51,"[321, 31, 702, 532]"
52,"[321, 31, 702, 532]"
53,"[321, 31, 702, 532]"
54,"[321, 31, 705, 532]"
55,"[323, 30, 705, 532]"
56,"[323, 30, 705, 533]"
57,"[324, 30, 706, 533]"
58,"[323, 30, 706, 533]"
59,"[320, 30, 704, 533]"
60,"[318, 31, 703, 532]"
61,"[318, 31, 703, 532]"
62,"[319, 31, 702, 532]"
63,"[321, 31, 702, 532]"
64,"[318, 32, 702, 533]"
65,"[317, 33, 702, 533]"
66,"[315, 33, 702, 533]"
67,"[315, 33, 702, 533]"
68,"[316, 32, 702, 533]"
69,"[316, 32, 702, 533]"
70,"[314, 32, 702, 533]"
71,"[314, 32, 704, 533]"
72,"[317, 32, 704, 533]"
73,"[317, 32, 704, 533]"
74,"[317, 32, 705, 533]"
75,"[322, 32, 705, 533]"
76,"[322, 32, 705, 533]"
77,"[323, 32, 705, 533]"
78,"[324, 32, 705, 533]"
79,"[325, 31, 705, 532]"
80,"[326, 31, 705, 532]"
81,"[327, 31, 705, 533]"
82,"[327, 31, 705, 533]"
83,"[327, 31, 705, 533]"
84,"[328, 31, 705, 533]"
85,"[329, 31, 705, 532]"
86,"[328, 31, 705, 532]"
87,"[328, 31, 705, 532]"
88,"[328, 31, 704, 532]"
89,"[328, 32, 703, 532]"
90,"[326, 32, 703, 532]"
91,"[325, 32, 703, 532]"
92,"[324, 31, 701, 532]"
93,"[322, 31, 700, 532]"
94,"[320, 32, 699, 532]"
95,"[320, 32, 699, 532]"
96,"[323, 31, 697, 532]"
97,"[320, 31, 698, 532]"
98,"[320, 33, 699, 532]"
99,"[321, 33, 699, 531]"
100,"[323, 33, 700, 531]"
101,"[324, 33, 700, 532]"
102,"[325, 33, 699, 532]"
103,"[325, 33, 699, 532]"
104,"[325, 33, 699, 532]"
105,"[322, 33, 700, 531]"
106,"[322, 32, 700, 531]"
107,"[320, 31, 701, 531]"
108,"[320, 31, 702, 531]"
109,"[320, 31, 702, 532]"
110,"[320, 31, 703, 532]"
111,"[320, 31, 703, 532]"
112,"[320, 31, 704, 532]"
113,"[322, 31, 704, 531]"
114,"[321, 31, 705, 531]"
115,"[321, 31, 705, 531]"
116,"[321, 31, 705, 532]"
117,"[325, 31, 705, 532]"
118,"[327, 32, 706, 531]"
119,"[327, 32, 706, 531]"
120,"[325, 32, 705, 531]"
121,"[325, 33, 704, 532]"
122,"[323, 33, 704, 532]"
123,"[323, 32, 703, 532]"
124,"[323, 32, 704, 532]"
125,"[323, 32, 704, 533]"
126,"[323, 32, 704, 533]"
127,"[323, 32, 705, 533]"
